R8 VC Data,พ.ย.-25,,,,
Pier,AxisAngle,Len.,Thick.,CG_X,CG_Y
C_CW01,0.00,0.30,0.24,-116.50,14.73
C_CW02,0.00,0.30,0.24,-110.90,14.73
C_CW03,0.00,0.30,0.24,-105.30,14.73
C_CW04,0.00,0.30,0.24,-99.70,14.73
C_CW05,0.00,0.30,0.24,-94.10,14.73
C_CW06,0.00,0.30,0.24,-88.50,14.73
C_CW07,0.00,0.30,0.24,-82.90,14.73
C_CW08,0.00,0.30,0.24,-77.30,14.73
C_CW09,0.00,0.30,0.24,-71.70,14.73
C_CW10,0.00,0.30,0.24,-66.10,14.73
C_CW11,0.00,0.30,0.24,-60.50,14.73
C_CW12,0.00,0.30,0.24,-54.90,14.73
C_CW13,0.00,0.30,0.24,-114.50,-1.78
C_CW14,0.00,0.30,0.24,-99.90,-1.78
C_CW15,0.00,0.30,0.24,-94.30,-1.78
C_CW16,0.00,0.30,0.24,-88.70,-1.78
C_CW17,0.00,0.30,0.24,-83.10,-1.78
C_CW18,0.00,0.30,0.24,-77.50,-1.78
C_CW19,0.00,0.30,0.24,-71.90,-1.78
C_CW20,0.00,0.30,0.24,-56.90,-1.73
C_CW21,0.00,0.30,0.24,-50.85,11.52
C_CW22,0.00,0.30,0.24,-51.00,0.95
B_CW01,0.00,0.30,0.24,-45.05,0.95
B_CW02,0.00,0.30,0.24,-44.41,11.52
B_CW03,0.00,0.30,0.24,-44.41,22.60
B_CW04,0.00,0.30,0.24,-44.41,28.20
B_CW05,0.00,0.30,0.24,-28.18,29.40
B_CW06,0.00,0.30,0.24,-28.18,23.80
B_CW07,0.00,0.30,0.24,-28.18,18.20
B_CW08,0.00,0.30,0.24,-22.55,14.58
B_CW09,0.00,0.30,0.24,-16.95,14.58
B_CW10,0.00,0.30,0.24,-11.35,14.58
B_CW11,0.00,0.30,0.24,-5.75,14.58
B_CW12,0.00,0.30,0.24,-0.15,14.58
B_CW13,0.00,0.30,0.24,3.75,11.75
B_CW14,0.00,0.30,0.24,3.75,1.32
B_CW15,0.00,0.30,0.24,-2.15,-1.51
B_CW16,0.00,0.30,0.24,-16.75,-1.51
B_CW17,0.00,0.30,0.24,-22.35,-1.51
B_CW18,0.00,0.30,0.24,-27.95,-1.51
B_CW19,0.00,0.30,0.24,-33.55,-1.51
B_CW20,0.00,0.30,0.24,-39.15,-1.51
A_CW01,0.00,0.30,0.24,10.00,12.77
A_CW02,0.00,0.30,0.24,10.00,15.85
A_CW03,0.00,0.30,0.24,14.05,15.85
A_CW04,0.00,0.30,0.24,19.65,15.85
A_CW05,0.00,0.30,0.24,25.25,15.85
A_CW06,0.00,0.30,0.24,29.20,15.85
A_CW07,0.00,0.30,0.24,34.80,15.85
A_CW08,0.00,0.30,0.24,39.60,22.45
A_CW09,0.00,0.30,0.24,39.60,28.05
A_CW10,0.00,0.30,0.24,39.60,30.85
A_CW11,0.00,0.30,0.24,39.60,36.45
A_CW12,0.00,0.30,0.24,39.60,40.50
A_CW13,0.00,0.30,0.24,44.03,41.60
A_CW14,0.00,0.30,0.24,56.10,35.00
A_CW15,0.00,0.30,0.24,56.10,29.40
A_CW16,0.00,0.30,0.24,56.10,23.80
A_CW17,0.00,0.30,0.24,56.73,11.25
A_CW18,0.00,0.30,0.24,56.73,-0.65
C_CW01A,0.00,0.30,0.24,-120.75,14.73
C_CW13A,0.00,0.30,0.24,-120.40,-1.78
C_CW19A,0.00,0.30,0.24,-71.90,-2.48
C_CW22A,0.00,0.30,0.24,-51.00,-1.73
B_CW01A,0.00,0.30,0.24,-45.05,-1.51
B_CW14A,0.00,0.30,0.24,3.75,-1.51
A_CW20,0.00,0.30,0.24,47.50,-0.65
A_CW19,0.00,0.30,0.24,50.58,-0.65
A_CW21,0.00,0.30,0.24,41.90,-0.65
A_CW22,0.00,0.30,0.24,36.25,-0.65
A_CW23,0.00,0.30,0.24,30.65,-0.65
A_CW24,0.00,0.30,0.24,16.05,-0.65
A_CW25,0.00,0.30,0.24,10.15,-0.65
B_CW12A,0.00,0.30,0.24,3.75,14.58
A_CW12A,0.00,0.30,0.24,-50.85,14.73
B_CW04B,0.00,0.30,0.24,-40.26,33.30
B_CW04A,0.00,0.30,0.24,-44.41,32.10
B_CW04C,0.00,0.30,0.24,-28.18,33.30
C_SW1P4,0.00,3.10,0.25,-107.20,-2.63
A_SW1P4,0.00,3.10,0.25,23.35,-1.63
B_SW1P3,90.00,3.75,0.25,-45.53,14.95
A_CW28,0.00,0.30,0.24,10.15,2.19
B_SW2P3,0.00,3.10,0.25,-9.45,-2.75
C_FG01,90.00,4.38,0.11,-120.75,11.84
C_FG02,90.00,4.38,0.11,-116.50,11.84
C_FG03,90.00,4.38,0.11,-110.90,11.84
C_FG04,90.00,4.38,0.11,-105.30,11.84
C_FG05,90.00,4.38,0.11,-99.70,11.84
C_FG06,90.00,4.38,0.11,-94.10,11.84
C_FG07,90.00,4.38,0.11,-88.50,11.84
C_FG08,90.00,4.38,0.11,-82.90,11.84
C_FG09,90.00,4.38,0.11,-77.30,11.84
